"","VALP","BLD_label","BDSP","JWMNP","JWTR_label"
"9472",350000,"10-19 Apartments",2,15,"Walked"
"9473",425000,"One-family house detached",3,12,"Car, truck, or van"
"9474",425000,"One-family house detached",3,3,"Car, truck, or van"
"9475",1900000,"One-family house detached",4,35,"Car, truck, or van"
"9476",1900000,"One-family house detached",4,40,"Car, truck, or van"
"9477",270000,"One-family house detached",3,15,"Car, truck, or van"
"9478",270000,"One-family house detached",3,15,"Car, truck, or van"
"9479",2e+05,"One-family house detached",1,30,"Car, truck, or van"
"9480",450000,"One-family house detached",5,15,"Car, truck, or van"
"9481",250000,"One-family house detached",3,15,"Car, truck, or van"
"9482",250000,"One-family house detached",3,30,"Car, truck, or van"
"9483",375000,"One-family house detached",3,60,"Car, truck, or van"
"9484",230000,"One-family house detached",2,7,"Car, truck, or van"
"9485",275000,"One-family house detached",3,25,"Car, truck, or van"
"9486",275000,"One-family house detached",3,40,"Car, truck, or van"
"9487",350000,"One-family house detached",3,55,"Car, truck, or van"
"9488",350000,"One-family house detached",3,5,"Car, truck, or van"
"9489",250000,"One-family house detached",4,5,"Car, truck, or van"
"9490",4e+05,"One-family house detached",4,30,"Car, truck, or van"
"9491",4e+05,"One-family house detached",4,15,"Car, truck, or van"
"9492",3e+05,"One-family house detached",2,15,"Car, truck, or van"
"9493",2e+05,"One-family house detached",2,50,"Car, truck, or van"
"9494",2e+05,"One-family house detached",2,30,"Car, truck, or van"
"9495",860000,"One-family house detached",3,30,"Car, truck, or van"
"9496",860000,"One-family house detached",3,15,"Car, truck, or van"
"9497",650000,"One-family house detached",3,30,"Car, truck, or van"
"9498",650000,"One-family house detached",3,30,"Car, truck, or van"
"9499",650000,"One-family house detached",3,30,"Car, truck, or van"
"9500",115000,"10-19 Apartments",2,15,"Walked"
"9501",6e+05,"One-family house detached",4,30,"Car, truck, or van"
"9502",640000,"One-family house detached",4,30,"Car, truck, or van"
"9503",640000,"One-family house detached",4,5,"Car, truck, or van"
"9504",6e+05,"One-family house detached",3,15,"Car, truck, or van"
"9505",150000,"One-family house detached",2,25,"Car, truck, or van"
"9506",5e+05,"One-family house detached",4,30,"Car, truck, or van"
"9507",5e+05,"One-family house detached",4,10,"Car, truck, or van"
"9508",3e+05,"One-family house detached",3,30,"Car, truck, or van"
"9509",425000,"One-family house detached",4,50,"Car, truck, or van"
"9510",6e+05,"One-family house detached",3,1,"Walked"
"9511",320000,"One-family house detached",3,20,"Car, truck, or van"
"9512",320000,"One-family house detached",3,5,"Car, truck, or van"
"9513",3e+05,"One-family house detached",3,20,"Car, truck, or van"
"9514",3e+05,"One-family house detached",3,20,"Car, truck, or van"
"9515",575000,"One-family house detached",4,15,"Car, truck, or van"
"9516",575000,"One-family house detached",4,144,"Car, truck, or van"
"9517",420000,"One-family house detached",2,15,"Car, truck, or van"
"9518",420000,"One-family house detached",2,25,"Car, truck, or van"
"9519",4e+05,"One-family house attached",3,1,"Car, truck, or van"
"9520",4e+05,"One-family house attached",3,15,"Car, truck, or van"
"9521",650000,"One-family house detached",4,100,"Car, truck, or van"
"9522",650000,"One-family house detached",4,10,"Car, truck, or van"
"9523",5e+05,"One-family house detached",3,45,"Car, truck, or van"
"9524",5e+05,"One-family house detached",3,10,"Car, truck, or van"
"9525",327000,"3-4 Apartments",3,90,"Car, truck, or van"
"9526",327000,"3-4 Apartments",3,45,"Car, truck, or van"
"9527",175000,"One-family house detached",3,50,"Car, truck, or van"
"9528",175000,"One-family house detached",3,55,"Car, truck, or van"
"9529",245000,"20-49 Apartments",2,30,"Car, truck, or van"
"9530",399000,"One-family house attached",2,15,"Car, truck, or van"
"9531",5e+05,"One-family house detached",3,30,"Car, truck, or van"
"9532",450000,"One-family house detached",3,90,"Car, truck, or van"
"9533",335000,"One-family house detached",3,60,"Car, truck, or van"
"9534",335000,"One-family house detached",3,90,"Car, truck, or van"
"9535",420000,"One-family house detached",3,20,"Car, truck, or van"
"9536",6e+05,"One-family house detached",4,15,"Car, truck, or van"
"9537",6e+05,"One-family house detached",4,15,"Car, truck, or van"
"9538",6e+05,"One-family house detached",4,15,"Car, truck, or van"
"9539",650000,"One-family house detached",4,90,"Subway or elevated"
"9540",550000,"One-family house detached",3,5,"Car, truck, or van"
"9541",550000,"One-family house detached",3,60,"Subway or elevated"
"9542",5e+05,"One-family house detached",4,40,"Car, truck, or van"
"9543",5e+05,"One-family house detached",4,15,"Car, truck, or van"
"9544",795000,"One-family house detached",4,60,"Car, truck, or van"
"9545",795000,"One-family house detached",4,20,"Car, truck, or van"
"9546",379000,"One-family house detached",3,25,"Car, truck, or van"
"9547",379000,"One-family house detached",3,5,"Car, truck, or van"
"9548",380000,"One-family house detached",2,70,"Railroad"
"9549",380000,"One-family house detached",2,20,"Car, truck, or van"
"9550",8e+05,"One-family house detached",5,55,"Car, truck, or van"
"9551",8e+05,"One-family house detached",5,45,"Car, truck, or van"
"9552",550000,"One-family house detached",4,10,"Car, truck, or van"
"9553",160000,"One-family house detached",3,30,"Car, truck, or van"
"9554",160000,"One-family house detached",3,30,"Car, truck, or van"
"9555",825000,"One-family house detached",3,30,"Car, truck, or van"
"9556",825000,"One-family house detached",3,10,"Car, truck, or van"
"9557",389000,"One-family house detached",3,2,"Car, truck, or van"
"9558",389000,"One-family house detached",3,2,"Car, truck, or van"
"9559",270000,"One-family house detached",3,40,"Car, truck, or van"
"9560",270000,"One-family house detached",3,30,"Car, truck, or van"
"9561",8e+05,"One-family house detached",2,45,"Subway or elevated"
"9562",8e+05,"One-family house detached",2,60,"Subway or elevated"
"9563",325000,"One-family house attached",3,12,"Car, truck, or van"
"9564",325000,"One-family house attached",3,10,"Car, truck, or van"
"9565",799000,"One-family house detached",4,30,"Car, truck, or van"
"9566",799000,"One-family house detached",4,20,"Car, truck, or van"
"9567",8e+05,"One-family house detached",5,30,"Car, truck, or van"
"9568",450000,"One-family house detached",3,20,"Car, truck, or van"
"9569",450000,"One-family house detached",3,60,"Subway or elevated"
"9570",450000,"One-family house detached",3,10,"Car, truck, or van"
"9571",1250000,"One-family house detached",5,40,"Car, truck, or van"
"9572",550000,"One-family house detached",4,10,"Car, truck, or van"
"9573",350000,"One-family house detached",3,30,"Car, truck, or van"
"9574",350000,"One-family house detached",3,30,"Car, truck, or van"
"9575",320000,"One-family house detached",4,30,"Car, truck, or van"
"9576",320000,"One-family house detached",4,15,"Car, truck, or van"
"9577",7e+05,"One-family house detached",4,10,"Car, truck, or van"
"9578",7e+05,"One-family house detached",4,15,"Car, truck, or van"
"9579",7e+05,"One-family house detached",4,5,"Car, truck, or van"
"9580",7e+05,"One-family house detached",4,10,"Car, truck, or van"
"9581",860000,"One-family house detached",4,25,"Bicycle"
"9582",860000,"One-family house detached",4,55,"Subway or elevated"
"9583",9e+05,"One-family house detached",2,45,"Car, truck, or van"
"9584",290000,"One-family house detached",3,30,"Car, truck, or van"
"9585",350000,"5-9 Apartments",2,15,"Car, truck, or van"
"9586",140000,"One-family house detached",1,30,"Car, truck, or van"
"9587",65000,"One-family house detached",3,20,"Car, truck, or van"
"9588",445000,"One-family house detached",2,35,"Car, truck, or van"
"9589",445000,"One-family house detached",2,10,"Car, truck, or van"
"9590",370000,"One-family house detached",4,10,"Car, truck, or van"
"9591",370000,"One-family house detached",4,35,"Car, truck, or van"
"9592",475000,"One-family house detached",4,40,"Car, truck, or van"
"9593",250000,"One-family house detached",4,60,"Car, truck, or van"
"9594",250000,"One-family house detached",4,20,"Car, truck, or van"
"9595",4e+05,"One-family house detached",3,10,"Car, truck, or van"
"9596",4e+05,"One-family house detached",3,20,"Car, truck, or van"
"9597",450000,"One-family house detached",3,10,"Car, truck, or van"
"9598",450000,"One-family house detached",3,10,"Car, truck, or van"
"9599",420000,"One-family house detached",3,20,"Car, truck, or van"
"9600",420000,"One-family house detached",3,40,"Car, truck, or van"
"9601",8e+05,"One-family house detached",4,70,"Car, truck, or van"
"9602",8e+05,"One-family house detached",4,5,"Car, truck, or van"
"9603",8e+05,"One-family house detached",4,15,"Car, truck, or van"
"9604",17000,"5-9 Apartments",2,35,"Car, truck, or van"
"9605",17000,"5-9 Apartments",2,20,"Car, truck, or van"
"9606",260000,"One-family house attached",2,30,"Car, truck, or van"
"9607",275000,"One-family house detached",5,40,"Car, truck, or van"
"9608",275000,"One-family house detached",5,10,"Car, truck, or van"
"9609",575000,"One-family house detached",3,35,"Car, truck, or van"
"9610",4e+05,"One-family house detached",4,10,"Car, truck, or van"
"9611",4e+05,"One-family house detached",4,40,"Car, truck, or van"
"9612",4e+05,"One-family house detached",4,30,"Car, truck, or van"
"9613",6e+05,"3-4 Apartments",3,30,"Car, truck, or van"
"9614",6e+05,"3-4 Apartments",3,40,"Bus or trolley bus"
"9615",4e+05,"One-family house detached",5,15,"Car, truck, or van"
"9616",4e+05,"One-family house detached",5,25,"Car, truck, or van"
"9617",4e+05,"One-family house detached",3,50,"Car, truck, or van"
"9618",4e+05,"One-family house detached",3,80,"Car, truck, or van"
"9619",3e+05,"One-family house detached",2,65,"Railroad"
"9620",3e+05,"One-family house detached",3,144,"Railroad"
"9621",350000,"2 Apartments",2,8,"Car, truck, or van"
"9622",350000,"2 Apartments",2,15,"Car, truck, or van"
"9623",160000,"One-family house detached",3,10,"Car, truck, or van"
"9624",2e+06,"One-family house detached",4,30,"Car, truck, or van"
"9625",750000,"One-family house detached",4,45,"Car, truck, or van"
"9626",150000,"One-family house detached",2,15,"Car, truck, or van"
"9627",250000,"One-family house detached",3,10,"Car, truck, or van"
"9628",250000,"One-family house detached",3,35,"Car, truck, or van"
"9629",180000,"One-family house detached",2,60,"Car, truck, or van"
"9630",180000,"One-family house detached",2,20,"Car, truck, or van"
"9631",180000,"One-family house detached",2,3,"Car, truck, or van"
"9632",220000,"One-family house detached",5,80,"Car, truck, or van"
"9633",220000,"One-family house detached",5,15,"Car, truck, or van"
"9634",220000,"One-family house detached",5,15,"Car, truck, or van"
"9635",220000,"One-family house detached",5,15,"Car, truck, or van"
"9636",3e+05,"One-family house detached",3,30,"Car, truck, or van"
"9637",3e+05,"One-family house detached",3,35,"Car, truck, or van"
"9638",3e+05,"One-family house detached",3,50,"Car, truck, or van"
"9639",3e+05,"One-family house detached",3,10,"Car, truck, or van"
"9640",3e+05,"One-family house detached",3,20,"Car, truck, or van"
"9641",3e+05,"One-family house detached",3,30,"Car, truck, or van"
"9642",1e+06,"One-family house detached",5,30,"Car, truck, or van"
"9643",1e+06,"One-family house detached",5,30,"Car, truck, or van"
"9644",305000,"One-family house detached",3,20,"Car, truck, or van"
"9645",305000,"One-family house detached",3,20,"Car, truck, or van"
"9646",350000,"One-family house detached",4,30,"Car, truck, or van"
"9647",350000,"One-family house detached",4,45,"Car, truck, or van"
"9648",350000,"One-family house detached",4,45,"Car, truck, or van"
"9649",350000,"One-family house detached",4,30,"Car, truck, or van"
"9650",350000,"One-family house detached",4,10,"Car, truck, or van"
"9651",550000,"2 Apartments",4,15,"Car, truck, or van"
"9652",325000,"One-family house detached",3,55,"Car, truck, or van"
"9653",9e+05,"One-family house detached",5,60,"Car, truck, or van"
"9654",9e+05,"One-family house detached",5,60,"Car, truck, or van"
"9655",140000,"One-family house detached",3,15,"Car, truck, or van"
"9656",140000,"One-family house detached",3,20,"Car, truck, or van"
"9657",440000,"3-4 Apartments",3,10,"Car, truck, or van"
"9658",440000,"3-4 Apartments",3,20,"Car, truck, or van"
"9659",440000,"3-4 Apartments",3,20,"Car, truck, or van"
"9660",440000,"3-4 Apartments",3,20,"Car, truck, or van"
"9661",440000,"One-family house detached",5,15,"Car, truck, or van"
"9662",1700000,"One-family house detached",3,15,"Car, truck, or van"
"9663",275000,"One-family house detached",3,15,"Car, truck, or van"
"9664",275000,"3-4 Apartments",0,15,"Other method"
"9665",250000,"One-family house detached",3,15,"Car, truck, or van"
"9666",250000,"One-family house detached",3,5,"Car, truck, or van"
"9667",9e+05,"One-family house detached",4,40,"Car, truck, or van"
"9668",5e+05,"One-family house detached",3,5,"Car, truck, or van"
"9669",5e+05,"One-family house detached",3,10,"Car, truck, or van"
"9670",350000,"One-family house detached",3,55,"Car, truck, or van"
"9671",8e+05,"One-family house detached",4,25,"Car, truck, or van"
"9672",8e+05,"One-family house detached",4,45,"Car, truck, or van"
"9673",8e+05,"One-family house detached",4,45,"Car, truck, or van"
"9674",8e+05,"One-family house detached",4,45,"Railroad"
"9675",40000,"One-family house detached",4,15,"Car, truck, or van"
"9676",40000,"One-family house detached",4,60,"Car, truck, or van"
"9677",40000,"One-family house detached",4,15,"Car, truck, or van"
"9678",2e+05,"3-4 Apartments",2,20,"Bus or trolley bus"
"9679",3e+05,"One-family house attached",3,30,"Subway or elevated"
"9680",3e+05,"One-family house attached",3,15,"Walked"
"9681",3e+05,"One-family house attached",3,45,"Taxicab"
"9682",3e+05,"One-family house attached",3,20,"Car, truck, or van"
"9683",2e+05,"One-family house detached",3,40,"Car, truck, or van"
"9684",1200000,"5-9 Apartments",2,30,"Bicycle"
"9685",3e+05,"One-family house detached",4,10,"Car, truck, or van"
"9686",3e+05,"One-family house detached",4,20,"Car, truck, or van"
"9687",405000,"One-family house detached",4,60,"Car, truck, or van"
"9688",405000,"One-family house detached",4,45,"Car, truck, or van"
"9689",475000,"One-family house detached",4,5,"Car, truck, or van"
"9690",475000,"One-family house detached",4,30,"Car, truck, or van"
"9691",475000,"One-family house detached",4,20,"Car, truck, or van"
"9692",6e+05,"One-family house detached",3,144,"Car, truck, or van"
"9693",350000,"3-4 Apartments",2,50,"Car, truck, or van"
"9694",6e+05,"One-family house detached",2,15,"Car, truck, or van"
"9695",850000,"One-family house attached",2,30,"Car, truck, or van"
"9696",850000,"One-family house attached",2,30,"Car, truck, or van"
"9697",250000,"One-family house detached",4,35,"Car, truck, or van"
"9698",250000,"One-family house detached",4,10,"Car, truck, or van"
"9699",6e+05,"One-family house attached",3,35,"Car, truck, or van"
"9700",6e+05,"One-family house attached",3,60,"Car, truck, or van"
"9701",275000,"One-family house attached",2,45,"Car, truck, or van"
"9702",275000,"One-family house attached",2,75,"Car, truck, or van"
"9703",470000,"One-family house detached",6,20,"Car, truck, or van"
"9704",470000,"One-family house detached",6,18,"Car, truck, or van"
"9705",470000,"One-family house detached",6,40,"Car, truck, or van"
"9706",4e+05,"One-family house detached",3,15,"Other method"
"9707",4e+05,"One-family house detached",3,35,"Car, truck, or van"
"9708",4e+05,"One-family house detached",3,40,"Car, truck, or van"
"9709",4e+05,"One-family house detached",3,45,"Car, truck, or van"
"9710",850000,"One-family house detached",4,22,"Car, truck, or van"
"9711",850000,"One-family house detached",4,45,"Car, truck, or van"
"9712",535000,"50 or more apartments",2,30,"Car, truck, or van"
"9713",535000,"50 or more apartments",2,30,"Bus or trolley bus"
"9714",2e+05,"One-family house detached",4,20,"Car, truck, or van"
"9715",2e+05,"One-family house detached",4,75,"Car, truck, or van"
"9716",250000,"One-family house detached",3,20,"Car, truck, or van"
"9717",365000,"One-family house detached",3,35,"Car, truck, or van"
"9718",365000,"One-family house detached",3,20,"Car, truck, or van"
"9719",475000,"One-family house detached",3,20,"Car, truck, or van"
"9720",475000,"One-family house detached",3,20,"Car, truck, or van"
"9721",1e+06,"3-4 Apartments",3,20,"Walked"
"9722",1e+06,"3-4 Apartments",3,30,"Car, truck, or van"
"9723",160000,"One-family house detached",3,20,"Other method"
"9724",160000,"One-family house detached",3,60,"Car, truck, or van"
"9725",250000,"One-family house detached",3,35,"Car, truck, or van"
"9726",250000,"One-family house detached",3,45,"Car, truck, or van"
"9727",250000,"One-family house detached",3,75,"Car, truck, or van"
"9728",250000,"One-family house detached",3,10,"Car, truck, or van"
"9729",5e+05,"One-family house detached",3,1,"Car, truck, or van"
"9730",5e+05,"One-family house detached",3,15,"Car, truck, or van"
"9731",450000,"One-family house detached",4,144,"Car, truck, or van"
"9732",450000,"One-family house detached",4,144,"Car, truck, or van"
"9733",350000,"One-family house detached",3,30,"Car, truck, or van"
"9734",350000,"One-family house detached",3,70,"Car, truck, or van"
"9735",7e+05,"3-4 Apartments",1,10,"Walked"
"9736",495000,"10-19 Apartments",3,25,"Car, truck, or van"
"9737",370000,"One-family house detached",3,5,"Car, truck, or van"
"9738",1400000,"One-family house detached",5,30,"Car, truck, or van"
"9739",270000,"One-family house detached",4,10,"Car, truck, or van"
"9740",270000,"One-family house detached",4,60,"Car, truck, or van"
"9741",270000,"One-family house detached",4,10,"Walked"
"9742",270000,"One-family house detached",4,10,"Walked"
"9743",270000,"One-family house detached",4,20,"Car, truck, or van"
"9744",4e+05,"One-family house detached",3,30,"Car, truck, or van"
"9745",4e+05,"One-family house detached",3,45,"Car, truck, or van"
"9746",4e+05,"One-family house detached",3,50,"Bus or trolley bus"
"9747",360000,"One-family house detached",3,30,"Car, truck, or van"
"9748",360000,"One-family house detached",3,40,"Car, truck, or van"
"9749",5e+05,"One-family house detached",3,5,"Car, truck, or van"
"9750",12000,"Mobile home or trailer",2,25,"Car, truck, or van"
"9751",12000,"Mobile home or trailer",2,25,"Car, truck, or van"
"9752",550000,"One-family house detached",4,15,"Car, truck, or van"
"9753",680000,"3-4 Apartments",3,40,"Subway or elevated"
"9754",515000,"One-family house attached",3,15,"Car, truck, or van"
"9755",425000,"One-family house detached",4,40,"Car, truck, or van"
"9756",145000,"One-family house attached",2,85,"Walked"
"9757",145000,"One-family house attached",2,15,"Bus or trolley bus"
"9758",550000,"One-family house detached",3,30,"Car, truck, or van"
"9759",550000,"One-family house detached",3,25,"Car, truck, or van"
"9760",3e+05,"5-9 Apartments",1,30,"Car, truck, or van"
"9761",275000,"5-9 Apartments",2,20,"Car, truck, or van"
"9762",275000,"5-9 Apartments",2,40,"Car, truck, or van"
"9763",525000,"One-family house detached",3,30,"Car, truck, or van"
"9764",525000,"One-family house detached",3,10,"Car, truck, or van"
"9765",525000,"One-family house detached",3,9,"Car, truck, or van"
"9766",850000,"One-family house detached",4,10,"Car, truck, or van"
"9767",8e+05,"One-family house detached",4,7,"Car, truck, or van"
"9768",8e+05,"One-family house detached",4,20,"Car, truck, or van"
"9769",4e+05,"One-family house detached",3,10,"Car, truck, or van"
"9770",6e+05,"One-family house detached",4,10,"Car, truck, or van"
"9771",6e+05,"One-family house detached",4,45,"Car, truck, or van"
"9772",225000,"One-family house attached",3,30,"Car, truck, or van"
"9773",225000,"One-family house attached",3,144,"Car, truck, or van"
"9774",475000,"One-family house detached",4,90,"Car, truck, or van"
"9775",475000,"One-family house detached",4,80,"Car, truck, or van"
"9776",2e+06,"One-family house detached",3,10,"Car, truck, or van"
"9777",275000,"One-family house detached",2,20,"Car, truck, or van"
"9778",550000,"One-family house detached",3,60,"Car, truck, or van"
"9779",550000,"One-family house detached",3,30,"Car, truck, or van"
"9780",259000,"One-family house detached",1,20,"Car, truck, or van"
"9781",750000,"One-family house detached",4,15,"Car, truck, or van"
"9782",4e+05,"One-family house attached",3,15,"Car, truck, or van"
"9783",1200000,"One-family house detached",6,30,"Car, truck, or van"
"9784",1200000,"One-family house detached",6,144,"Other method"
"9785",4e+05,"One-family house detached",2,30,"Car, truck, or van"
"9786",4e+05,"One-family house detached",2,20,"Car, truck, or van"
"9787",215000,"3-4 Apartments",2,45,"Car, truck, or van"
"9788",8e+05,"2 Apartments",3,30,"Subway or elevated"
"9789",3e+05,"One-family house detached",3,20,"Car, truck, or van"
"9790",520000,"One-family house detached",4,100,"Car, truck, or van"
"9791",520000,"One-family house detached",4,20,"Car, truck, or van"
"9792",650000,"One-family house detached",4,5,"Car, truck, or van"
"9793",650000,"One-family house detached",4,15,"Car, truck, or van"
"9794",2e+05,"One-family house attached",4,30,"Car, truck, or van"
"9795",450000,"One-family house detached",5,37,"Car, truck, or van"
"9796",3e+05,"One-family house detached",4,25,"Car, truck, or van"
"9797",3e+05,"One-family house detached",4,45,"Car, truck, or van"
"9798",3e+05,"One-family house detached",4,10,"Car, truck, or van"
"9799",2e+05,"One-family house detached",3,15,"Car, truck, or van"
"9800",7e+05,"One-family house detached",5,60,"Car, truck, or van"
"9801",5e+05,"One-family house attached",3,45,"Railroad"
"9802",5e+05,"One-family house attached",3,45,"Railroad"
"9803",620000,"One-family house detached",4,15,"Car, truck, or van"
"9804",620000,"One-family house detached",4,30,"Car, truck, or van"
"9805",430000,"One-family house detached",4,30,"Car, truck, or van"
"9806",430000,"One-family house detached",4,45,"Car, truck, or van"
"9807",550000,"3-4 Apartments",2,20,"Bicycle"
"9808",5e+05,"One-family house detached",3,45,"Car, truck, or van"
"9809",5e+05,"One-family house detached",3,10,"Car, truck, or van"
"9810",250000,"One-family house detached",4,20,"Car, truck, or van"
"9811",250000,"One-family house detached",4,10,"Car, truck, or van"
"9812",620000,"One-family house detached",3,30,"Car, truck, or van"
"9813",620000,"One-family house detached",3,22,"Car, truck, or van"
"9814",620000,"One-family house detached",3,25,"Car, truck, or van"
"9815",540000,"One-family house detached",4,15,"Car, truck, or van"
"9816",540000,"One-family house detached",4,30,"Car, truck, or van"
"9817",175000,"One-family house detached",3,45,"Car, truck, or van"
"9818",5e+05,"One-family house detached",4,10,"Car, truck, or van"
"9819",350000,"One-family house detached",3,25,"Car, truck, or van"
"9820",350000,"One-family house detached",3,30,"Car, truck, or van"
"9821",625000,"One-family house detached",4,30,"Car, truck, or van"
"9822",625000,"One-family house detached",4,60,"Car, truck, or van"
"9823",120000,"2 Apartments",2,60,"Car, truck, or van"
"9824",130000,"One-family house attached",2,55,"Car, truck, or van"
"9825",980000,"5-9 Apartments",2,15,"Taxicab"
"9826",220000,"One-family house detached",1,60,"Railroad"
"9827",220000,"One-family house detached",1,40,"Railroad"
"9828",4e+05,"One-family house detached",3,20,"Car, truck, or van"
"9829",330000,"One-family house detached",4,20,"Car, truck, or van"
"9830",330000,"One-family house detached",4,4,"Car, truck, or van"
"9831",5e+05,"One-family house detached",2,10,"Car, truck, or van"
"9832",330000,"One-family house detached",3,60,"Car, truck, or van"
"9833",330000,"One-family house detached",3,10,"Car, truck, or van"
"9834",10000,"Mobile home or trailer",2,144,"Car, truck, or van"
"9835",550000,"One-family house detached",3,30,"Car, truck, or van"
"9836",512000,"One-family house detached",3,60,"Car, truck, or van"
"9837",512000,"One-family house detached",3,15,"Car, truck, or van"
"9838",512000,"One-family house detached",3,60,"Railroad"
"9839",512000,"One-family house detached",3,60,"Subway or elevated"
"9840",175000,"One-family house detached",3,20,"Car, truck, or van"
"9841",175000,"One-family house detached",3,45,"Car, truck, or van"
"9842",450000,"One-family house detached",5,20,"Car, truck, or van"
"9843",450000,"One-family house detached",5,20,"Car, truck, or van"
"9844",450000,"One-family house detached",5,35,"Car, truck, or van"
"9845",175000,"One-family house detached",3,15,"Car, truck, or van"
"9846",175000,"One-family house detached",3,45,"Car, truck, or van"
"9847",175000,"One-family house detached",3,40,"Car, truck, or van"
"9848",450000,"3-4 Apartments",3,8,"Car, truck, or van"
"9849",450000,"3-4 Apartments",3,6,"Car, truck, or van"
"9850",360000,"One-family house attached",2,10,"Car, truck, or van"
"9851",1400,"Mobile home or trailer",2,35,"Car, truck, or van"
"9852",3e+05,"One-family house detached",3,20,"Car, truck, or van"
"9853",4441000,"One-family house attached",4,5,"Car, truck, or van"
"9854",230000,"One-family house detached",2,15,"Car, truck, or van"
"9855",5e+05,"One-family house detached",3,45,"Car, truck, or van"
"9856",260000,"One-family house detached",3,60,"Car, truck, or van"
"9857",260000,"One-family house detached",3,60,"Car, truck, or van"
"9858",1400000,"One-family house detached",5,15,"Car, truck, or van"
"9859",250000,"One-family house detached",3,35,"Car, truck, or van"
"9860",350000,"One-family house detached",4,50,"Car, truck, or van"
"9861",350000,"One-family house detached",4,10,"Car, truck, or van"
"9862",350000,"One-family house detached",4,20,"Car, truck, or van"
"9863",5e+05,"One-family house detached",3,40,"Car, truck, or van"
"9864",5e+05,"One-family house detached",3,20,"Railroad"
"9865",4e+05,"One-family house detached",3,144,"Car, truck, or van"
"9866",4e+05,"One-family house detached",3,10,"Walked"
"9867",550000,"One-family house detached",4,30,"Car, truck, or van"
"9868",550000,"One-family house detached",4,45,"Car, truck, or van"
"9869",720000,"One-family house detached",4,40,"Car, truck, or van"
"9870",720000,"One-family house detached",4,15,"Car, truck, or van"
"9871",720000,"One-family house detached",4,50,"Car, truck, or van"
"9872",3e+05,"One-family house detached",3,45,"Car, truck, or van"
"9873",3e+05,"One-family house detached",3,20,"Car, truck, or van"
"9874",450000,"One-family house detached",4,70,"Car, truck, or van"
"9875",390000,"One-family house detached",4,65,"Car, truck, or van"
"9876",390000,"One-family house detached",4,30,"Car, truck, or van"
"9877",970000,"One-family house attached",4,20,"Car, truck, or van"
"9878",250000,"One-family house attached",4,10,"Car, truck, or van"
"9879",250000,"One-family house attached",4,40,"Car, truck, or van"
"9880",325000,"One-family house detached",3,15,"Car, truck, or van"
"9881",540000,"One-family house detached",5,47,"Car, truck, or van"
"9882",540000,"One-family house detached",5,10,"Car, truck, or van"
"9883",360000,"One-family house detached",3,35,"Car, truck, or van"
"9884",360000,"One-family house detached",3,30,"Car, truck, or van"
"9885",4e+05,"One-family house detached",4,55,"Car, truck, or van"
"9886",4e+05,"One-family house detached",4,30,"Car, truck, or van"
"9887",4e+05,"One-family house detached",4,50,"Car, truck, or van"
"9888",4e+05,"One-family house detached",4,20,"Car, truck, or van"
"9889",461000,"One-family house detached",4,6,"Car, truck, or van"
"9890",461000,"One-family house detached",4,25,"Car, truck, or van"
"9891",150000,"3-4 Apartments",2,60,"Car, truck, or van"
"9892",415000,"One-family house detached",3,40,"Car, truck, or van"
"9893",415000,"One-family house detached",3,40,"Subway or elevated"
"9894",6e+05,"One-family house detached",4,90,"Car, truck, or van"
"9895",6e+05,"One-family house detached",4,20,"Car, truck, or van"
"9896",850000,"One-family house detached",4,12,"Car, truck, or van"
"9897",360000,"One-family house detached",3,90,"Railroad"
"9898",360000,"One-family house detached",3,40,"Car, truck, or van"
"9899",450000,"One-family house detached",2,30,"Car, truck, or van"
"9900",450000,"One-family house detached",2,5,"Car, truck, or van"
"9901",450000,"One-family house detached",2,30,"Car, truck, or van"
"9902",310000,"One-family house detached",2,50,"Car, truck, or van"
"9903",130000,"One-family house detached",2,15,"Car, truck, or van"
"9904",575000,"One-family house detached",3,45,"Subway or elevated"
"9905",2e+05,"2 Apartments",2,30,"Car, truck, or van"
"9906",6e+05,"One-family house detached",4,20,"Car, truck, or van"
"9907",6e+05,"One-family house detached",4,20,"Car, truck, or van"
"9908",415000,"One-family house detached",2,10,"Car, truck, or van"
"9909",415000,"One-family house detached",2,75,"Car, truck, or van"
"9910",1e+06,"One-family house detached",4,45,"Car, truck, or van"
"9911",375000,"One-family house detached",3,25,"Car, truck, or van"
"9912",220000,"One-family house detached",3,30,"Car, truck, or van"
"9913",220000,"One-family house detached",3,30,"Car, truck, or van"
"9914",220000,"One-family house detached",3,30,"Car, truck, or van"
"9915",220000,"One-family house detached",3,15,"Car, truck, or van"
"9916",375000,"One-family house detached",4,25,"Car, truck, or van"
"9917",375000,"One-family house detached",4,10,"Car, truck, or van"
"9918",375000,"One-family house detached",4,30,"Car, truck, or van"
"9919",290000,"One-family house detached",2,30,"Car, truck, or van"
"9920",290000,"One-family house detached",2,25,"Car, truck, or van"
"9921",341000,"3-4 Apartments",2,144,"Car, truck, or van"
"9922",341000,"3-4 Apartments",2,40,"Car, truck, or van"
"9923",280000,"One-family house detached",3,30,"Car, truck, or van"
"9924",4e+05,"2 Apartments",2,60,"Railroad"
"9925",4e+05,"2 Apartments",2,75,"Car, truck, or van"
"9926",110000,"One-family house detached",2,30,"Car, truck, or van"
"9927",6e+05,"One-family house detached",4,7,"Car, truck, or van"
"9928",390000,"One-family house detached",4,22,"Car, truck, or van"
